Round,Capacidade,Ocupacao,Operacao,Tam do arquivo,Tempo_ms
3,4,0,read,10MB,127
4,4,0,read,10MB,128
5,4,0,read,10MB,128
1,4,0,write,100MB,12491
2,4,0,write,100MB,13246
3,4,0,write,100MB,14887
4,4,0,write,100MB,17118
5,4,0,write,100MB,17556
1,4,0,read,100MB,5545
2,4,0,read,100MB,1444
3,4,0,read,100MB,1174
4,4,0,read,100MB,2739
5,4,0,read,100MB,1511
1,4,0,write,1GB,339467
2,4,0,write,1GB,340808
3,4,0,write,1GB,338741
4,4,0,write,1GB,338137
5,4,0,write,1GB,338630
1,4,0,read,1GB,107324
2,4,0,read,1GB,58124
3,4,0,read,1GB,11476
4,4,0,read,1GB,57964
5,4,0,read,1GB,55993
1,4,20,write,10MB,1420
2,4,20,write,10MB,740
3,4,20,write,10MB,735
4,4,20,write,10MB,737
5,4,20,write,10MB,741
1,4,20,read,10MB,175
2,4,20,read,10MB,151
3,4,20,read,10MB,144
4,4,20,read,10MB,144
5,4,20,read,10MB,160
1,4,20,write,100MB,12562
2,4,20,write,100MB,12988
3,4,20,write,100MB,12449
4,4,20,write,100MB,18338
5,4,20,write,100MB,14533
1,4,20,read,100MB,35303
2,4,20,read,100MB,4016
3,4,20,read,100MB,4358
4,4,20,read,100MB,4133
5,4,20,read,100MB,5848
1,4,20,write,1GB,333910
2,4,20,write,1GB,334605
3,4,20,write,1GB,332543
4,4,20,write,1GB,334598
5,4,20,write,1GB,336795
1,4,20,read,1GB,58045
2,4,20,read,1GB,71569
3,4,20,read,1GB,57850
4,4,20,read,1GB,58587
5,4,20,read,1GB,58233
1,4,40,write,10MB,1016
2,4,40,write,10MB,775
3,4,40,write,10MB,773
4,4,40,write,10MB,772
5,4,40,write,10MB,776
1,4,40,read,10MB,136
2,4,40,read,10MB,155
3,4,40,read,10MB,146
4,4,40,read,10MB,143
5,4,40,read,10MB,143
1,4,40,write,100MB,11249
2,4,40,write,100MB,11215
3,4,40,write,100MB,11182
4,4,40,write,100MB,13782
5,4,40,write,100MB,14847
1,4,40,read,100MB,2444
2,4,40,read,100MB,3835
3,4,40,read,100MB,2858
4,4,40,read,100MB,2334
5,4,40,read,100MB,12612
1,4,40,write,1GB,334118
2,4,40,write,1GB,338235
3,4,40,write,1GB,334899
4,4,40,write,1GB,333156
5,4,40,write,1GB,337224
1,4,40,read,1GB,41607
2,4,40,read,1GB,16635
3,4,40,read,1GB,12087
4,4,40,read,1GB,12012
5,4,40,read,1GB,11550
